obs shape -  (4, 84, 84)
global_step=282, episodic_return=[-21.]
global_step=554, episodic_return=[-21.]
global_step=801, episodic_return=[-21.]
global_step=1323, episodic_return=[-19.]
global_step=1629, episodic_return=[-21.]
global_step=1912, episodic_return=[-21.]
global_step=2278, episodic_return=[-21.]
global_step=2532, episodic_return=[-21.]
global_step=2846, episodic_return=[-21.]
global_step=3286, episodic_return=[-21.]
global_step=3557, episodic_return=[-21.]
global_step=3820, episodic_return=[-21.]
global_step=4274, episodic_return=[-21.]
global_step=4587, episodic_return=[-19.]
global_step=4844, episodic_return=[-21.]
global_step=5290, episodic_return=[-21.]
global_step=5569, episodic_return=[-21.]
global_step=5854, episodic_return=[-21.]
global_step=6308, episodic_return=[-21.]
global_step=6627, episodic_return=[-21.]
global_step=6916, episodic_return=[-20.]
global_step=7309, episodic_return=[-21.]
global_step=7655, episodic_return=[-19.]
global_step=7981, episodic_return=[-21.]
global_step=8307, episodic_return=[-21.]
global_step=8598, episodic_return=[-21.]
global_step=8844, episodic_return=[-21.]
global_step=9286, episodic_return=[-21.]
global_step=9556, episodic_return=[-21.]
global_step=9828, episodic_return=[-21.]
global_step=10340, episodic_return=[-19.]
global_step=10585, episodic_return=[-21.]
global_step=10829, episodic_return=[-21.]
global_step=11300, episodic_return=[-20.]
global_step=11646, episodic_return=[-20.]
global_step=11964, episodic_return=[-20.]
global_step=12311, episodic_return=[-20.]
global_step=12574, episodic_return=[-21.]
global_step=12830, episodic_return=[-21.]
global_step=13270, episodic_return=[-21.]
global_step=13575, episodic_return=[-21.]
global_step=13822, episodic_return=[-21.]
global_step=14246, episodic_return=[-21.]
global_step=14557, episodic_return=[-21.]
global_step=14830, episodic_return=[-20.]
global_step=15275, episodic_return=[-20.]
global_step=15548, episodic_return=[-21.]
global_step=15829, episodic_return=[-21.]
global_step=16290, episodic_return=[-21.]
global_step=16626, episodic_return=[-19.]
global_step=16942, episodic_return=[-21.]
global_step=17338, episodic_return=[-19.]
global_step=17628, episodic_return=[-20.]
global_step=17918, episodic_return=[-20.]
global_step=18280, episodic_return=[-21.]
global_step=18555, episodic_return=[-21.]
global_step=18803, episodic_return=[-21.]
global_step=19278, episodic_return=[-20.]
global_step=19645, episodic_return=[-20.]
global_step=19916, episodic_return=[-21.]
global_step=20274, episodic_return=[-21.]
global_step=20566, episodic_return=[-21.]
global_step=20901, episodic_return=[-19.]
global_step=21271, episodic_return=[-21.]
global_step=21629, episodic_return=[-20.]
global_step=21970, episodic_return=[-20.]
global_step=22281, episodic_return=[-21.]
global_step=22533, episodic_return=[-21.]
global_step=22833, episodic_return=[-21.]
global_step=23310, episodic_return=[-21.]
global_step=23611, episodic_return=[-21.]
global_step=23906, episodic_return=[-20.]
global_step=24309, episodic_return=[-20.]
global_step=24562, episodic_return=[-21.]
global_step=24858, episodic_return=[-20.]
global_step=25356, episodic_return=[-19.]
global_step=25639, episodic_return=[-20.]
global_step=25926, episodic_return=[-21.]
global_step=26313, episodic_return=[-20.]
global_step=26587, episodic_return=[-21.]
global_step=26884, episodic_return=[-21.]
global_step=27318, episodic_return=[-19.]
global_step=27589, episodic_return=[-21.]
global_step=27882, episodic_return=[-21.]
global_step=28268, episodic_return=[-21.]
global_step=28604, episodic_return=[-20.]
global_step=28855, episodic_return=[-21.]
global_step=29290, episodic_return=[-21.]
global_step=29570, episodic_return=[-21.]
global_step=29856, episodic_return=[-21.]
global_step=30263, episodic_return=[-21.]
global_step=30592, episodic_return=[-20.]
global_step=30842, episodic_return=[-21.]
global_step=31279, episodic_return=[-21.]
global_step=31534, episodic_return=[-21.]
global_step=31820, episodic_return=[-21.]
global_step=32320, episodic_return=[-21.]
global_step=32593, episodic_return=[-21.]
global_step=32969, episodic_return=[-20.]
global_step=33293, episodic_return=[-21.]
global_step=33578, episodic_return=[-20.]
global_step=33859, episodic_return=[-21.]
global_step=34259, episodic_return=[-21.]
global_step=34546, episodic_return=[-21.]
global_step=34920, episodic_return=[-21.]
global_step=35298, episodic_return=[-20.]
global_step=35604, episodic_return=[-19.]
global_step=35890, episodic_return=[-21.]
global_step=36331, episodic_return=[-20.]
global_step=36582, episodic_return=[-21.]
global_step=36875, episodic_return=[-21.]
global_step=37294, episodic_return=[-21.]
global_step=37563, episodic_return=[-21.]
global_step=37836, episodic_return=[-21.]
global_step=38307, episodic_return=[-20.]
global_step=38584, episodic_return=[-20.]
global_step=38861, episodic_return=[-21.]
global_step=39326, episodic_return=[-19.]
global_step=39657, episodic_return=[-20.]
global_step=39963, episodic_return=[-19.]
global_step=40295, episodic_return=[-20.]
global_step=40600, episodic_return=[-21.]
global_step=40881, episodic_return=[-21.]
global_step=41279, episodic_return=[-21.]
global_step=41617, episodic_return=[-21.]
global_step=41955, episodic_return=[-20.]
global_step=42307, episodic_return=[-20.]
global_step=42593, episodic_return=[-20.]
global_step=42850, episodic_return=[-21.]
global_step=43298, episodic_return=[-21.]
global_step=43563, episodic_return=[-21.]
global_step=43841, episodic_return=[-21.]
global_step=44255, episodic_return=[-21.]
global_step=44542, episodic_return=[-21.]
global_step=44829, episodic_return=[-21.]
global_step=45324, episodic_return=[-20.]
global_step=45620, episodic_return=[-21.]
global_step=45897, episodic_return=[-20.]
global_step=46340, episodic_return=[-21.]
global_step=46621, episodic_return=[-21.]
global_step=46878, episodic_return=[-21.]
global_step=47304, episodic_return=[-20.]
global_step=47659, episodic_return=[-20.]
global_step=47980, episodic_return=[-21.]
global_step=48276, episodic_return=[-21.]
global_step=48581, episodic_return=[-20.]
global_step=48868, episodic_return=[-21.]
global_step=49279, episodic_return=[-21.]
global_step=49532, episodic_return=[-21.]
global_step=49821, episodic_return=[-20.]
global_step=50364, episodic_return=[-19.]
global_step=50629, episodic_return=[-21.]
global_step=50880, episodic_return=[-21.]
global_step=51300, episodic_return=[-20.]
global_step=51586, episodic_return=[-21.]
global_step=51886, episodic_return=[-21.]
global_step=52321, episodic_return=[-20.]
global_step=52658, episodic_return=[-19.]
global_step=52966, episodic_return=[-20.]
global_step=53295, episodic_return=[-20.]
global_step=53602, episodic_return=[-21.]
global_step=53951, episodic_return=[-21.]
global_step=54281, episodic_return=[-20.]
global_step=54568, episodic_return=[-21.]
global_step=54815, episodic_return=[-21.]
global_step=55253, episodic_return=[-21.]
global_step=55565, episodic_return=[-21.]
global_step=55887, episodic_return=[-20.]
global_step=56303, episodic_return=[-20.]
global_step=56557, episodic_return=[-21.]
global_step=56816, episodic_return=[-21.]
global_step=57313, episodic_return=[-21.]
global_step=57638, episodic_return=[-20.]
global_step=57906, episodic_return=[-21.]
global_step=58277, episodic_return=[-21.]
global_step=58556, episodic_return=[-21.]
global_step=58843, episodic_return=[-21.]
global_step=59261, episodic_return=[-21.]
global_step=59529, episodic_return=[-21.]
